Input name	Standardized name	Formula	Exact mass	Super class	Main class	 Sub class
Dimethylglycine	Dimethylglycine	103.0633	C4H9NO2	Organic acids	Amino acids and peptides	Amino acids
Ectoine	Ectoine	142.0742	C6H10N2O2	Nucleic acids	Pyrimidines	Hydropyrimidines
Edetic acid	Edetic acid	292.0907	C10H16N2O8	Organic acids	Carboxylic acids	Tetracarboxylic acids
Erythrose 4-phosphate	Erythrose 4-phosphate	200.0086	C4H9O7P	Carbohydrates	Monosaccharides	Monosaccharide phosphates
Fructose 1,6-bisphosphate	Fructose 1,6-bisphosphate	339.9961	C6H14O12P2	Carbohydrates	Monosaccharides	Monosaccharide phosphates
Fructose 6-phosphate	Fructose 6-phosphate	260.0297	C6H13O9P	Carbohydrates	Monosaccharides	Monosaccharide phosphates
gamma-Glutamylisoleucine	gamma-Glutamylisoleucine	260.1372	C11H20N2O5	Organic acids	Amino acids and peptides	Dipeptides
gamma-Glutamylleucine	gamma-Glutamylleucine	260.1372	C11H20N2O5	Organic acids	Amino acids and peptides	Dipeptides
gamma-Glutamyltyrosine	gamma-Glutamyltyrosine	310.1165	C14H18N2O6	Organic acids	Amino acids and peptides	Dipeptides
Gluconic acid	Gluconic acid	196.0583	C6H12O7	Carbohydrates	Monosaccharides	Sugar acids
Glucose	Glucose	180.0634	C6H12O6	Carbohydrates	Monosaccharides	Hexoses
Glutaric acid	Glutaric acid	132.0423	C5H8O4	Fatty Acyls	Fatty acids	Dicarboxylic acids
Glutathione	Glutathione	307.0838	C10H17N3O6S	Organic acids	Amino acids and peptides	Tripeptides
Glyceraldehyde 3-phosphate	Glyceraldehyde 3-phosphate	169.9980	C3H7O6P	Organic acids	Short-chain acids	Short-chain acids
sn-Glycero-3-phosphate	sn-Glycero-3-phosphate	172.0137	C3H9O6P	Organic acids	Organic phosphoric acids	Organic phosphoric acids
Glycochenodeoxycholic acid	Glycochenodeoxycholic acid	449.3141	C26H43NO5	Sterol Lipids	Bile acids	C24 Bile acids
Glycocholic acid	Glycocholic acid	465.3090	C26H43NO6	Sterol Lipids	Bile acids	C24 Bile acids
Glycodeoxycholic acid	Glycodeoxycholic acid	449.3141	C26H43NO5	Sterol Lipids	Bile acids	C24 Bile acids
Glycohyocholic acid	Glycohyocholic acid	465.3090	C26H43NO6	Sterol Lipids	Bile acids	C24 Bile acids
Glycohyodeoxycholic acid	Glycohyodeoxycholic acid	449.3141	C26H43NO5	Sterol Lipids	Bile acids	C24 Bile acids
Glycoursodeoxycholic acid	Glycoursodeoxycholic acid	449.3141	C26H43NO5	Sterol Lipids	Bile acids	C24 Bile acids
Guanidoacetic acid	Guanidoacetic acid	117.0538	C3H7N3O2	Organic acids	Amino acids and peptides	Amino acids
Guanine	Guanine	151.0494	C5H5N5O	Nucleic acids	Purines	Hypoxanthines
Guanosine	Guanosine	283.0917	C10H13N5O5	Nucleic acids	Purines	Purine ribonucleosides
Hexose	Hexose	180.0634	C6H12O6	Carbohydrates	Monosaccharides	Hexoses
Hexose 6-phosphate	Hexose 6-phosphate	260.0297	C6H13O9P	Carbohydrates	Monosaccharides	Monosaccharide phosphates
Hippuric acid	Hippuric acid	179.0582	C9H9NO3	Polyketides	Phenolic acids	Phenolic acids
Histamine	Histamine	111.0796	C5H9N3	Alkaloids	Histidine alkaloids	Imidazole alkaloids
Homoarginine	Homoarginine	188.1273	C7H16N4O2	Organic acids	Amino acids and peptides	Amino acids
Homocitrulline	Homocitrulline	189.1113	C7H15N3O3	Organic acids	Amino acids and peptides	Amino acids
Homocysteic acid	Homocysteic acid	183.0201	C4H9NO5S	Organic acids	Amino acids and peptides	Amino acids
5-Hydroxyindoleacetic acid	5-Hydroxyindoleacetic acid	191.0582	C10H9NO3	Alkaloids	Tryptophan alkaloids	Indoleacetic acids
Hydroxyphenyllactic acid	Hydroxyphenyllactic acid	182.0579	C9H10O4	Organic acids	Phenylpropanoids	Cinnamic acids
Hyodeoxycholic acid	Hyodeoxycholic acid	392.2927	C24H40O4	Sterol Lipids	Bile acids	C24 Bile acids
Hypotaurine	Hypotaurine	109.0198	C2H7NO2S	Organic acids	Sulfinic acids	Sulfinic acids
Hypoxanthine	Hypoxanthine	136.0385	C5H4N4O	Nucleic acids	Purines	Hypoxanthines
Imidazolepropionic acid	Imidazolepropionic acid	140.0586	C6H8N2O2	Alkaloids	Histidine alkaloids	Imidazole alkaloids
Imidazoleacetic acid	Imidazoleacetic acid	126.0429	C5H6N2O2	Alkaloids	Histidine alkaloids	Imidazole alkaloids
Indolelactic acid	Indolelactic acid	205.0739	C11H11NO3	Alkaloids	Tryptophan alkaloids	Indolecarboxylic acids
Indoleacetic acid	Indoleacetic acid	175.0633	C10H9NO2	Alkaloids	Tryptophan alkaloids	Indoleacetic acids
Indoleacrylic acid	Indoleacrylic acid	187.0633	C11H9NO2	Alkaloids	Tryptophan alkaloids	Simple indole alkaloids
Ketoleucine	Ketoleucine	130.0630	C6H10O3	Organic acids	Keto acids	Short-chain keto acids
Kynurenic acid	Kynurenic acid	189.0426	C10H7NO3	Alkaloids	Anthranilic acid alkaloids	Acridone alkaloids
Kynurenine	Kynurenine	208.0848	C10H12N2O3	Organic acids	Amino acids and peptides	Amino acids
Leucine/Isoleucine	Leucine/Isoleucine	131.0946	C6H13NO2	Organic acids	Amino acids and peptides	Amino acids
3-Hydroxybenzoic acid	3-Hydroxybenzoic acid	138.0317	C7H6O3	Polyketides	Phenolic acids	Phenolic acids
Maleic acid	Maleic acid	116.0110	C4H4O4	Fatty Acyls	Fatty acids	Dicarboxylic acids
Methionine sulfoxide	Methionine sulfoxide	165.0460	C5H11NO3S	Organic acids	Amino acids and peptides	Amino acids
Methyl N-methylanthranilate	Methyl N-methylanthranilate	165.0790	C9H11NO2	Benzenoids	Benzenes	Benzoic acid esters
Methylguanidine	Methylguanidine	73.0640	C2H7N3	Organic nitrogen compounds	Guanidines	Guanidines
Methylimidazoleacetic acid	Methylimidazoleacetic acid	140.0586	C6H8N2O2	Alkaloids	Histidine alkaloids	Imidazole alkaloids
Monoethylhexyl phthalic acid	Monoethylhexyl phthalic acid	278.1518	C16H22O4	Polyketides	Phenolic acids	Phenolic acids
Niacinamide	Niacinamide	122.0480	C6H6N2O	Alkaloids	Nicotinic acid alkaloids	Pyridine alkaloids
Oleamide	Oleamide	281.2719	C18H35NO	Fatty Acyls	Fatty amides	Primary amides
omega-Muricholic acid	omega-Muricholic acid	408.2876	C24H40O5	Sterol Lipids	Bile acids	C24 Bile acids
Oxidized glutathione	Oxidized glutathione	612.1520	C20H32N6O12S2	Organic acids	Amino acids and peptides	Tripeptides
Pantothenic acid	Pantothenic acid	219.1107	C9H17NO5	Organic acids	Amino acids and peptides	Amino acids
Pantothenol	Pantothenol	205.1314	C9H19NO4	Fatty Acyls	Fatty amides	N-acyl amines
Phenylacetic acid	Phenylacetic acid	136.0524	C8H8O2	Organic acids	Phenylpropanoids	Cinnamic acids
Phenylacetylglycine	Phenylacetylglycine	193.0739	C10H11NO3	Organic acids	Amino acids and peptides	Amino acids
Phenyllactic acid	Phenyllactic acid	166.0630	C9H10O3	Organic acids	Phenylpropanoids	Cinnamic acids
Choline phosphate	Choline phosphate	183.0660	C5H14NO4P	Organic nitrogen compounds	Cholines	Cholines
Phosphocreatine	Phosphocreatine	211.0358	C4H10N3O5P	Organic acids	Amino acids and peptides	Amino acids
Phosphoenolpyruvic acid	Phosphoenolpyruvic acid	167.9824	C3H5O6P	Organic acids	Short-chain acids	Short-chain acids
Phosphoserine	Phosphoserine	185.0089	C3H8NO6P	Organic acids	Amino acids and peptides	Amino acids
Phytosphingosine	Phytosphingosine	317.2930	C18H39NO3	Sphingolipids	Sphingoid bases	Phytosphingosines
Pipecolic acid	Pipecolic acid	129.0790	C6H11NO2	Organic acids	Amino acids and peptides	Amino acids
Pro-Gly	Pro-Gly	172.0848	C7H12N2O3	Organic acids	Amino acids and peptides	Dipeptides
Proline betaine	Proline betaine	143.0946	C7H13NO2	Organic acids	Amino acids and peptides	Amino acids
Pseudouridine	Pseudouridine	244.0695	C9H12N2O6	Nucleic acids	Pyrimidines	Pyrimidine ribonucleosides
Putrescine	Putrescine	88.1000	C4H12N2	Fatty Acyls	Fatty amines	Monoalkylamines
Pyridoxamine	Pyridoxamine	168.0899	C8H12N2O2	Alkaloids	Nicotinic acid alkaloids	Pyridine alkaloids
Pyruvic acid	Pyruvic acid	88.0160	C3H4O3	Organic acids	Short-chain acids	Short-chain acids
Retinoic acid	Retinoic acid	300.2089	C20H28O2	Prenol Lipids	Isoprenoids	Retinoids
Ribose 5-phosphate	Ribose 5-phosphate	230.0192	C5H11O8P	Carbohydrates	Monosaccharides	Monosaccharide phosphates
Pentose 5-phosphate	Pentose 5-phosphate	230.0192	C5H11O8P	Carbohydrates	Monosaccharides	Monosaccharide phosphates
Sedoheptulose 7-phosphate	Sedoheptulose 7-phosphate	290.0403	C7H15O10P	Carbohydrates	Monosaccharides	Monosaccharide phosphates
Serotonin	Serotonin	176.0950	C10H12N2O	Alkaloids	Tryptophan alkaloids	Tryptamines
Spermidine	Spermidine	145.1579	C7H19N3	Alkaloids	Ornithine alkaloids	Polyamines
Spermine	Spermine	202.2157	C10H26N4	Alkaloids	Ornithine alkaloids	Polyamines
Sphinganine	Sphinganine	301.2981	C18H39NO2	Sphingolipids	Sphingoid bases	Sphinganines
C16 Sphinganine	C16 Sphinganine	273.2668	C16H35NO2	Sphingolipids	Sphingoid bases	Sphingoid base analogs
Sphingosine	Sphingosine	299.2824	C18H37NO2	Sphingolipids	Sphingoid bases	Sphingosines
Sphingosine 1-phosphate	Sphingosine 1-phosphate	379.2488	C18H38NO5P	Sphingolipids	Sphingoid bases	Sphingoid base 1-P
Tauro-alpha-muricholic acid	Tauro-alpha-muricholic acid	515.2917	C26H45NO7S	Sterol Lipids	Bile acids	C24 Bile acids
Tauromuricholic acid	Tauromuricholic acid	515.2917	C26H45NO7S	Sterol Lipids	Bile acids	C24 Bile acids
Tauro-beta-muricholic acid	Tauro-beta-muricholic acid	515.2917	C26H45NO7S	Sterol Lipids	Bile acids	C24 Bile acids
Taurochenodeoxycholic acid	Taurochenodeoxycholic acid	499.2968	C26H45NO6S	Sterol Lipids	Bile acids	C24 Bile acids
Taurocholic acid	Taurocholic acid	515.2917	C26H45NO7S	Sterol Lipids	Bile acids	C24 Bile acids
Taurodeoxycholic acid	Taurodeoxycholic acid	499.2968	C26H45NO6S	Sterol Lipids	Bile acids	C24 Bile acids
Taurohyocholic acid	Taurohyocholic acid	515.2917	C26H45NO7S	Sterol Lipids	Bile acids	C24 Bile acids
Taurohyodeoxycholic acid	Taurohyodeoxycholic acid	499.2968	C26H45NO6S	Sterol Lipids	Bile acids	C24 Bile acids
Tauroursodeoxycholic acid	Tauroursodeoxycholic acid	499.2968	C26H45NO6S	Sterol Lipids	Bile acids	C24 Bile acids
Thiamine	Thiamine	265.1123	C12H17N4OS	Nucleic acids	Pyrimidines	Thiamines
Trigonelline	Trigonelline	137.0477	C7H7NO2	Alkaloids	Nicotinic acid alkaloids	Pyridine alkaloids
Trimethylamine N-oxide	Trimethylamine N-oxide	75.0684	C3H9NO	Organic nitrogen compounds	Amine oxides	Trisubstituted amine oxides
Trimethylbenzene	Trimethylbenzene	120.0939	C9H12	Benzenoids	Benzenes	Other benzenes
Ubiquinol Q9	Coenzyme Q9	794.6213	C54H82O4	Prenol Lipids	Quinones and hydroquinones	Ubiquinones
Uric acid	Uric acid	168.0283	C5H4N4O3	Nucleic acids	Purines	Xanthines
Uridine	Uridine	244.0695	C9H12N2O6	Nucleic acids	Pyrimidines	Pyrimidine ribonucleosides
Urocanic acid	Urocanic acid	138.0429	C6H6N2O2	Alkaloids	Histidine alkaloids	Imidazole alkaloids
Ursodeoxycholic acid	Ursodeoxycholic acid	392.2927	C24H40O4	Sterol Lipids	Bile acids	C24 Bile acids
Xanthine	Xanthine	152.0334	C5H4N4O2	Nucleic acids	Purines	Xanthines
Xanthosine	Xanthosine	284.0757	C10H12N4O6	Nucleic acids	Purines	Purine ribonucleosides
