Input name	Standardized name	Formula	Exact mass	Super class	Main class	 Sub class
PS(O-20:3/22:4)	PS O-20:3/22:4	847.5727	C48H82NO9P	Glycerophospholipids	Glycerophosphoserines	O-PS
Palmitoyl-EA	Palmitoyl-EA	299.2824	C18H37NO2	Fatty Acyls	Fatty amides	NAE
Phe-Phe	Phe-Phe	312.1474	C18H20N2O3	Organic acids	Amino acids and peptides	Dipeptides
Phe-Trp	Phe-Trp	351.1583	C20H21N3O3	Organic acids	Amino acids and peptides	Dipeptides
Phenylalanine	Phenylalanine	165.0790	C9H11NO2	Organic acids	Amino acids and peptides	Amino acids
Phosphoethanolamine	Phosphoethanolamine	141.0191	C2H8NO4P	Organic acids	Phosphate esters	Phosphoethanolamines
Pro-Phe	Pro-Phe	262.1317	C14H18N2O3	Organic acids	Amino acids and peptides	Dipeptides
Proline	Proline	115.0633	C5H9NO2	Organic acids	Amino acids and peptides	Amino acids
Resolvin D1	Resolvin D1	376.2250	C22H32O5	Fatty Acyls	Docosanoids	Docosanoids
Resolvin D2	Resolvin D2	376.2250	C22H32O5	Fatty Acyls	Docosanoids	Docosanoids
Resolvin D3	Resolvin D3	376.2250	C22H32O5	Fatty Acyls	Docosanoids	Docosanoids
S-Adenosylmethionine	S-Adenosylmethionine	399.1451	C15H23N6O5S	Nucleic acids	Purines	Other purines
S-Allylcysteine	S-Allylcysteine	161.0511	C6H11NO2S	Organic acids	Amino acids and peptides	Amino acids
S-Methylcysteine S-oxide	S-Methylcysteine S-oxide	151.0303	C4H9NO3S	Organic acids	Amino acids and peptides	Amino acids
Symmetric dimethyl-arginine	Symmetric dimethylarginine	202.1430	C8H18N4O2	Organic acids	Amino acids and peptides	Amino acids
SM(d32:1)	SM 32:1;O2	674.5363	C37H75N2O6P	Sphingolipids	Phosphosphingolipids	SM
SM(d32:2)	SM 32:2;O2	672.5206	C37H73N2O6P	Sphingolipids	Phosphosphingolipids	SM
SM(d33:1)	SM 33:1;O2	688.5519	C38H77N2O6P	Sphingolipids	Phosphosphingolipids	SM
SM(d34:0)	SM 34:0;O2	704.5832	C39H81N2O6P	Sphingolipids	Phosphosphingolipids	SM
SM(d34:0-OH)	SM 34:0;O3	720.5781	C39H81N2O7P	Sphingolipids	Phosphosphingolipids	SM
SM(d34:1)	SM 34:1;O2	702.5676	C39H79N2O6P	Sphingolipids	Phosphosphingolipids	SM
SM(d34:1-OH)	SM 34:1;O3	718.5625	C39H79N2O7P	Sphingolipids	Phosphosphingolipids	SM
SM(d34:2)	SM 34:2;O2	700.5519	C39H77N2O6P	Sphingolipids	Phosphosphingolipids	SM
SM(d35:1)	SM 35:1;O2	716.5832	C40H81N2O6P	Sphingolipids	Phosphosphingolipids	SM
SM(d36:0)	SM 36:0;O2	732.6145	C41H85N2O6P	Sphingolipids	Phosphosphingolipids	SM
SM(d36:1)	SM 36:1;O2	730.5989	C41H83N2O6P	Sphingolipids	Phosphosphingolipids	SM
SM(d36:2)	SM 36:2;O2	728.5832	C41H81N2O6P	Sphingolipids	Phosphosphingolipids	SM
SM(d38:0-OH)	SM 38:0;O3	776.6407	C43H89N2O7P	Sphingolipids	Phosphosphingolipids	SM
SM(d38:1)	SM 38:1;O2	758.6302	C43H87N2O6P	Sphingolipids	Phosphosphingolipids	SM
SM(d38:1)_ln_b	SM 38:1;O2	758.6302	C43H87N2O6P	Sphingolipids	Phosphosphingolipids	SM
SM(d38:1)_lp_a	SM 38:1;O2	758.6302	C43H87N2O6P	Sphingolipids	Phosphosphingolipids	SM
SM(d38:1)_lp_b	SM 38:1;O2	758.6302	C43H87N2O6P	Sphingolipids	Phosphosphingolipids	SM
SM(d38:2)_lp_a	SM 38:2;O2	756.6145	C43H85N2O6P	Sphingolipids	Phosphosphingolipids	SM
