"feature_set","factor","pval","padj","sign","view"
"GOBP_GROWTH","Factor1",0.0397632916563403,0.287224492478251,"negative","Redox"
"GOBP_CELLULAR_LIPID_METABOLIC_PROCESS","Factor1",0.0412039521852542,0.287491211838023,"negative","Redox"
"GOMF_LIPID_BINDING","Factor1",0.0438203934355629,0.302311478308265,"negative","Redox"
"GOBP_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT","Factor1",0.00794255738848313,0.30479563978304,"positive","Redox"
"GOBP_POSITIVE_REGULATION_OF_MONOATOMIC_ION_TRANSPORT","Factor1",0.00691718546497443,0.30479563978304,"positive","Redox"
"GOCC_ENDOSOME","Factor1",0.00758629045846312,0.30479563978304,"positive","Redox"
"GOCC_TRANSPORTER_COMPLEX","Factor1",0.0071884375321823,0.30479563978304,"positive","Redox"
"GOBP_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS","Factor1",0.045546492565149,0.307313697087929,"negative","Redox"
"GOBP_LOCOMOTION","Factor1",0.0464831757559146,0.309654292288806,"negative","Redox"
"GOBP_MONOATOMIC_ION_HOMEOSTASIS","Factor1",0.0483864539197118,0.316056199007479,"negative","Redox"
"GOBP_STRIATED_MUSCLE_CONTRACTION","Factor1",0.00909879036576917,0.328626899093075,"positive","Redox"
"GOBP_HEART_MORPHOGENESIS","Factor1",0.0546175267327982,0.336631659116516,"negative","Redox"
"GOBP_REGULATION_OF_RESPONSE_TO_STRESS","Factor1",0.0562582513504877,0.338772754131068,"negative","Redox"
"GOBP_REGULATION_OF_IMMUNE_SYSTEM_PROCESS","Factor1",0.0578407718236102,0.344798387375696,"negative","Redox"
"GOBP_CELLULAR_RESPONSE_TO_PEPTIDE","Factor1",0.0599008085204812,0.353645157995918,"negative","Redox"
"GOBP_TUBE_DEVELOPMENT","Factor1",0.0607454769641669,0.355216408152366,"negative","Redox"
"GOBP_REGULATION_OF_DEVELOPMENTAL_GROWTH","Factor1",0.064497326679459,0.369373649608443,"negative","Redox"
"GOBP_REGULATION_OF_CELL_SUBSTRATE_ADHESION","Factor1",0.0710428230819177,0.387007018723586,"negative","Redox"
"GOBP_MONOSACCHARIDE_BIOSYNTHETIC_PROCESS","Factor1",0.0730994760074353,0.390287637117959,"negative","Redox"
"GOBP_CELL_CELL_SIGNALING","Factor1",0.0742508074562812,0.392700350905488,"negative","Redox"
"GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_THE_CH_CH_GROUP_OF_DONORS","Factor1",0.0748305228924138,0.392700350905488,"negative","Redox"
"GOBP_MUSCLE_TISSUE_DEVELOPMENT","Factor1",0.0769634479646902,0.400470822460337,"negative","Redox"
"GOMF_ENZYME_INHIBITOR_ACTIVITY","Factor1",0.0780342781629644,0.40263064531143,"negative","Redox"
"GOBP_CELLULAR_RESPONSE_TO_OXYGEN_CONTAINING_COMPOUND","Factor1",0.0820068380796714,0.402817588647346,"negative","Redox"
"GOBP_NEGATIVE_REGULATION_OF_HYDROLASE_ACTIVITY","Factor1",0.0818928889117462,0.402817588647346,"negative","Redox"
"GOBP_STRIATED_MUSCLE_TISSUE_DEVELOPMENT","Factor1",0.0818182143915132,0.402817588647346,"negative","Redox"
"GOBP_CELL_MOTILITY","Factor1",0.0840142123625714,0.409402590401737,"negative","Redox"
"GOBP_CELLULAR_RESPONSE_TO_TOXIC_SUBSTANCE","Factor1",0.0849205140201073,0.410361288662352,"negative","Redox"
"GOBP_INFLAMMATORY_RESPONSE","Factor1",0.0857620008235804,0.410361288662352,"negative","Redox"
"GOBP_RESPONSE_TO_BACTERIUM","Factor1",0.0897150272419087,0.417310808534333,"negative","Redox"
